person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,cb_person_cred_hist_length,loan_percent_income
25,128000,9,30000,7.29,4,0.23
24,12000,2,1750,,3,0.15
21,131000,0,30000,5.99,4,0.23
22,275000,6,12000,11.58,2,0.04
26,263000,0,10000,,4,0.04
25,221850,9,25000,15.7,2,0.1
22,70000,6,29100,15.99,3,0.42
22,12000,7,1500,14.84,3,0.13
26,260000,10,28000,10.99,3,0.11
25,259000,9,20000,14.42,2,0.08
24,255000,9,9600,6.99,2,0.04
25,250000,2,25000,13.49,4,0.1
25,12000,0,3000,,3,0.25
22,56950,6,28000,,2,0.49
21,12000,6,3000,13.61,3,0.25
23,65000,2,28000,7.9,2,0.43
26,85000,2,28000,7.49,3,0.33
26,12000,2,6100,7.51,3,0.51
22,88000,6,28000,9.91,3,0.32
21,12000,0,4200,13.48,4,0.35
22,12000,6,4750,7.14,2,0.4
24,83004,0,28000,15.99,4,0.34
24,250000,2,18000,12.98,3,0.07
144,250000,4,4800,13.57,3,0.02
25,100000,5,28000,12.69,3,0.28
26,110000,10,28000,8.9,2,0.25
26,12000,0,2700,,4,0.23
22,108000,6,28000,,4,0.26
23,151200,7,28000,11.11,2,0.19
24,69000,2,27600,,2,0.4
21,12000,5,3250,15.68,3,0.27
22,70000,4,27500,13.06,3,0.39
22,240000,6,25000,,2,0.1
26,73200,5,27050,15.62,2,0.37
24,83000,5,27000,13.49,2,0.33
24,73399,0,27000,,3,0.37
23,62500,7,26000,11.71,2,0.42
23,120000,1,25600,12.69,3,0.21
24,12360,2,1600,13.57,3,0.13
22,60000,0,25475,10.99,3,0.42
25,234000,3,20000,14.27,4,0.09
24,234000,8,20000,8.88,4,0.09
26,234000,10,21600,12.18,3,0.09
25,221004,6,11900,14.42,3,0.05
26,232500,0,25000,14.17,2,0.11
25,230000,5,35000,13.99,4,0.15
23,83000,7,25300,10.99,3,0.3
22,12600,,2000,5.42,4,0.16
25,12600,3,1750,13.61,3,0.14
21,42500,3,25000,12.73,3,0.59
24,41000,2,25000,,3,0.61
25,12816,0,3000,12.87,4,0.23
24,12960,1,3650,9.91,3,0.28
26,226000,4,20000,11.49,4,0.09
25,225000,0,30000,19.91,2,0.13
26,213000,6,35000,10.65,2,0.16
24,225000,0,6000,,4,0.03
24,12960,0,4500,11.83,4,0.35
23,12996,0,2400,13.49,2,0.18
22,42000,6,25000,14.59,2,0.6
26,48000,2,25000,9.64,4,0.52
25,12996,1,3600,14.59,3,0.28
22,12996,1,4750,,3,0.37
25,42360,1,25000,16.35,3,0.59
21,49000,4,25000,10.99,2,0.51
25,225000,0,25000,18.67,2,0.11
26,225000,1,3000,9.32,4,0.01
23,225000,8,7500,8.63,2,0.03
26,225000,2,25000,10.08,2,0.11
22,49464,5,25000,11.83,3,0.51
23,50000,1,25000,7.9,3,0.5
25,50000,4,25000,5.99,2,0.5
24,44000,2,25000,15.33,2,0.57
23,50000,1,25000,11.83,4,0.5
22,50004,0,25000,10.36,2,0.5
22,50004,3,25000,12.23,3,0.5
22,52000,2,25000,11.11,4,0.48
23,13200,3,4950,7.9,4,0.38
24,220000,1,25000,11.58,2,0.11
23,216000,5,21000,8.9,3,0.1
25,216000,2,25000,16.07,3,0.12
26,216000,10,20000,14.22,2,0.09
23,215000,7,35000,14.79,3,0.16
26,215000,11,12000,7.88,2,0.06
23,52000,1,25000,13.22,2,0.48
26,46000,2,25000,11.86,4,0.54
22,53000,5,25000,13.43,4,0.47
26,47000,0,25000,15.28,2,0.53
23,47000,1,25000,17.93,2,0.53
23,13200,2,1400,9.25,4,0.11
21,13200,0,4500,12.98,4,0.34
22,210000,6,16000,10.62,4,0.08
26,210000,10,22000,11.83,4,0.1
26,48000,5,25000,18.43,2,0.52
22,54996,6,25000,,4,0.45
24,55000,4,25000,,4,0.45
23,55000,4,25000,11.36,3,0.45
23,55000,4,25000,15.65,3,0.45
24,55164,8,25000,13.22,4,0.45
26,56000,4,25000,12.87,2,0.45
24,203500,8,20000,13.04,3,0.1
23,190000,5,22000,17.58,3,0.12
23,13920,2,7750,17.04,4,0.56
24,60000,0,25000,10.99,3,0.42
24,60000,2,25000,11.11,3,0.42
26,54000,7,25000,14.83,2,0.46
23,14000,2,4000,,3,0.29
24,200000,8,12000,12.69,2,0.06
24,200000,8,12000,13.49,2,0.06
21,200000,5,16000,14.65,4,0.08
25,54000,3,25000,16.82,4,0.46
23,60000,3,25000,12.73,3,0.42
23,60000,7,25000,10.25,4,0.42
21,60000,6,25000,10.99,4,0.42
25,61959,9,25000,12.73,2,0.4
22,56400,2,25000,14.96,3,0.44
23,200000,7,28000,,2,0.14
21,200000,2,25000,13.99,2,0.13
24,200000,3,24000,7.49,4,0.12
26,200000,4,15000,14.79,3,0.07
25,200000,2,15500,11.99,2,0.08
24,200000,8,10000,8.49,4,0.05
24,66000,3,25000,9.91,2,0.38
22,66000,6,25000,13.06,3,0.38
22,200000,6,9000,6.17,4,0.04
144,200000,4,6000,11.86,2,0.03
25,200000,5,18000,16.32,3,0.09
25,200000,2,12000,10.38,2,0.06
25,200000,9,23050,14.35,3,0.12
24,200000,8,20000,,3,0.1
24,60000,2,25000,,2,0.42
21,14400,0,3000,,4,0.21
26,66996,10,25000,15.21,2,0.37
23,67000,3,25000,7.9,4,0.37
24,67000,2,25000,10.99,3,0.37
24,68000,5,25000,14.09,3,0.37
25,69000,9,25000,17.49,2,0.36
25,200000,0,12000,11.48,3,0.06
26,188000,10,20000,17.74,2,0.11
26,200000,4,3000,13.92,3,0.01
25,69996,9,25000,15.21,3,0.36
22,14400,2,4000,10.99,3,0.28
24,70000,3,25000,11.86,4,0.36
24,14400,5,6000,7.49,3,0.42
24,56100,7,25000,16.49,4,0.38
25,66000,9,25000,15.33,2,0.38
26,66000,3,25000,11.58,4,0.38
25,14400,7,5375,5.79,2,0.37
25,72612,9,25000,13.11,2,0.34
23,74000,3,25000,10.36,3,0.34
25,75000,9,25000,10.36,2,0.33
24,192000,0,22000,,2,0.11
21,192000,123,20000,6.54,4,0.1
25,191000,1,10000,12.53,4,0.05
26,190300,5,15000,,3,0.08
22,190000,3,10000,,3,0.05
24,75000,4,25000,10.25,4,0.33
22,71000,1,25000,15.95,4,0.35
26,190000,3,20000,12.18,4,0.11
23,189996,0,24000,11.83,3,0.13
23,78000,7,25000,,2,0.32
23,78000,1,25000,10.62,3,0.32
23,78504,7,25000,10.74,3,0.32
25,186000,9,10000,10.25,4,0.05
24,185000,,35000,12.42,2,0.19
25,185000,6,15000,15.27,2,0.08
24,62050,8,25000,15.33,2,0.34
23,79416,7,25000,15.21,2,0.31
21,14400,4,6250,14.72,2,0.43
24,79631,8,25000,15.7,2,0.31
24,79632,0,25000,13.35,4,0.31
21,14400,0,1500,,4,0.1
24,80000,6,25000,6.62,2,0.31
26,80000,5,25000,13.61,4,0.31
22,185000,4,25000,11.36,2,0.14
26,185000,10,5000,7.68,2,0.03
24,184992,7,22000,14.46,4,0.12
23,184000,5,2500,11.83,2,0.01
24,172000,6,20000,13.47,4,0.12
24,183000,2,20000,11.49,3,0.11
22,183000,3,1000,,2,0.01
25,182952,9,15000,6.03,3,0.08
23,74004,7,25000,16.35,4,0.34
26,74004,10,25000,,4,0.34
25,81000,5,25000,7.29,3,0.31
23,81600,1,25000,11.36,3,0.31
24,82000,8,25000,10.25,2,0.3
24,83000,5,25000,11.12,3,0.3
24,83000,5,25000,12.92,3,0.3
24,180000,8,18000,18.64,4,0.1
23,180000,8,28000,7.51,3,0.16
23,14400,2,4000,16.7,2,0.28
22,14400,0,2100,11.14,4,0.15
22,84500,6,25000,18.3,4,0.3
24,85000,5,25000,10.62,4,0.29
24,180000,7,14000,11.99,2,0.08
26,180000,2,12000,9.63,4,0.07
25,142800,9,10000,18.25,4,0.06
23,14664,0,6000,,4,0.41
24,87000,8,25000,14.84,3,0.29
24,75000,0,25000,14.7,3,0.33
23,76000,7,25000,16.02,4,0.33
23,66215,1,25000,15.37,2,0.32
25,90000,9,25000,10.99,4,0.28
21,15000,0,6200,7.9,2,0.41
26,180000,2,25000,10.99,4,0.14
24,180000,8,21000,11.48,3,0.12
25,180000,9,20000,14.26,4,0.11
26,180000,0,10000,8,4,0.06
25,180000,3,9950,11.26,2,0.06
23,15000,7,4475,,4,0.3
23,78000,2,25000,16.32,3,0.32
25,66300,3,25000,17.93,4,0.32
23,90000,0,25000,11.36,3,0.28
24,79000,9,25000,14.96,4,0.32
24,91800,4,25000,13.43,3,0.27
25,92000,6,25000,12.69,3,0.27
24,92000,1,25000,12.73,4,0.27
23,93600,3,25000,15.21,4,0.27
23,15000,1,1750,12.68,3,0.12
23,70550,3,25000,19.04,4,0.3
25,83800,2,25000,15.95,3,0.3
26,175000,3,2600,8.9,4,0.01
25,175000,10,8000,7.9,2,0.05
22,175000,6,18000,,2,0.1
23,175000,8,21000,11.99,3,0.12
23,15000,4,4000,13.98,4,0.27
23,15000,4,4600,10.99,2,0.31
22,88000,6,25000,15.58,2,0.28
25,74800,2,25000,10.99,2,0.28
25,88000,0,25000,14.96,4,0.28
25,15000,2,1750,15.31,4,0.12
26,88000,2,25000,15.65,3,0.28
25,100000,1,25000,9.33,4,0.25
23,15000,0,3600,13.47,4,0.24
24,102400,8,25000,10.36,3,0.24
24,92000,1,25000,16.77,4,0.27
23,93000,0,25000,14.59,2,0.27
22,175000,6,3500,11.91,2,0.02
23,175000,3,7200,8.38,3,0.04
25,174708,9,9000,10.59,3,0.05
25,174000,2,8800,14.27,3,0.05
26,174000,8,12000,12.53,4,0.07
25,162000,5,25000,16,3,0.15
26,173467,10,10000,11.71,4,0.06
21,15000,0,3175,11.54,3,0.21
25,96000,2,25000,15.68,4,0.26
21,15120,0,1500,10.59,2,0.1
24,97908,8,25000,12.61,2,0.26
26,110000,3,25000,,2,0.23
23,15204,7,2800,8.49,3,0.18
25,159600,0,30000,17.27,4,0.19
24,171500,6,18000,8.9,4,0.1
25,170004,3,10000,11.11,4,0.06
24,158004,0,25000,14.59,2,0.16
26,170000,0,13000,12.42,3,0.08
24,83300,0,25000,,2,0.26
24,110000,7,25000,15.7,2,0.23
22,15360,7,2500,12.53,3,0.16
25,134300,3,5000,16.49,2,0.03
25,170000,2,20000,7.49,2,0.12
22,100580,6,25000,14.96,2,0.25
25,113000,7,25000,12.73,4,0.22
24,120000,8,25000,10.65,4,0.21
25,120000,6,25000,10.74,2,0.21
23,120000,7,25000,9.99,2,0.21
24,91800,5,25000,15.33,2,0.23
21,15600,5,1000,7.29,4,0.06
26,108000,2,25000,15.05,3,0.23
26,129996,6,25000,10.75,3,0.19
23,130000,4,25000,16.02,2,0.19
23,130000,7,25000,11.49,4,0.19
25,170000,4,20000,12.53,4,0.12
26,170000,0,12000,13.57,2,0.07
22,169000,1,14000,11.14,3,0.08
26,168750,10,24250,12.87,3,0.14
23,168600,3,20000,11.58,3,0.12
24,168288,5,1800,11.12,3,0.01
25,168000,2,35000,10.65,2,0.21
24,133300,6,25000,10.37,2,0.19
24,15600,5,3300,6.39,4,0.21
24,134000,8,25000,16.07,3,0.19
25,134000,7,25000,10.62,2,0.19
25,15600,0,3200,18.09,2,0.21
25,135000,5,25000,11.36,4,0.19
26,135660,10,25000,12.53,4,0.18
25,145000,0,25000,9.99,4,0.17
23,150000,4,25000,10.36,3,0.17
23,165000,3,9600,5.99,3,0.06
22,153000,5,24000,15.62,2,0.16
24,165000,5,20000,10.37,4,0.12
25,165000,0,25000,19.74,4,0.15
21,165000,5,20000,6.91,4,0.12
23,16000,7,6000,7.9,2,0.38
23,16000,3,2275,13.06,4,0.14
23,16000,7,2000,6.39,3,0.13
23,148000,1,25000,14.93,3,0.17
23,16000,1,5600,12.84,4,0.35
24,16020,3,3625,17.14,2,0.23
22,16094,2,5500,7.14,3,0.34
25,175000,2,25000,8.9,2,0.14
22,16200,6,2000,12.42,3,0.12
24,185000,7,25000,12.68,2,0.14
25,162000,9,25000,11.03,2,0.15
26,161000,10,30000,7.9,4,0.19
22,160000,0,35000,10.65,4,0.22
25,225000,5,25000,11.86,4,0.11
25,16400,1,5000,8.94,4,0.3
23,16500,6,4375,9.63,4,0.27
25,49500,6,24750,14.22,3,0.5
23,60000,4,24750,9.33,3,0.41
24,84200,8,24500,13.85,4,0.29
22,16800,5,2000,10.65,2,0.12
24,92000,8,24500,11.46,4,0.27
23,160000,5,35000,7.66,2,0.22
24,160000,9,12000,16.77,4,0.07
25,160000,1,12000,9.63,4,0.07
26,160000,6,25000,12.23,4,0.16
25,125800,0,10000,14.09,4,0.07
25,54000,2,24250,13.98,4,0.45
23,62500,1,24250,10.62,4,0.39
24,16800,,3900,,3,0.23
25,68400,9,24250,17.56,4,0.35
26,56045,1,24250,14.96,2,0.37
22,74000,7,24250,15.65,2,0.33
24,65453,9,24250,15.7,2,0.31
24,89908,1,24250,12.53,3,0.27
26,78000,0,24250,17.56,3,0.31
23,100000,0,24250,12.87,2,0.24
23,103000,6,24250,15.7,2,0.24
25,160000,2,9000,,3,0.06
25,160000,5,15000,11.14,4,0.09
24,160000,3,20000,16,3,0.13
23,160000,2,25000,15.65,2,0.16
26,160000,0,13750,,4,0.09
21,160000,3,15250,15.31,4,0.1
25,160000,3,20000,13.47,2,0.13
22,16800,0,4750,13.85,2,0.28
25,111996,9,24250,,3,0.22
21,16800,0,6000,10.39,4,0.36
25,115200,0,24250,11.36,2,0.21
23,144000,0,24250,11.83,3,0.17
23,287000,3,24250,12.53,3,0.08
22,108000,1,24150,14.96,3,0.22
22,43000,7,24000,13.85,3,0.56
23,47004,1,24000,11.58,4,0.51
24,48000,4,24000,16.29,2,0.5
26,48000,4,24000,,3,0.5
21,44964,2,24000,16.29,2,0.53
25,52000,,24000,10.74,2,0.46
22,17352,,2250,15.27,3,0.13
24,47000,3,24000,17.8,2,0.51
22,17400,6,1000,11.36,2,0.06
22,49000,2,24000,17.56,4,0.49
26,60000,0,24000,7.9,4,0.4
25,60000,3,24000,10.99,4,0.4
22,60000,0,24000,7.29,3,0.4
21,60000,5,24000,10.75,2,0.4
26,62004,9,24000,7.9,3,0.39
22,62400,3,24000,14.84,2,0.38
26,65000,10,24000,,2,0.37
22,17760,6,4975,,3,0.28
23,59000,5,24000,19.69,2,0.41
23,66000,6,24000,,4,0.36
24,60000,0,24000,14.96,4,0.4
25,66143,9,24000,6.99,3,0.36
22,62250,3,24000,16.45,4,0.39
24,70000,8,24000,10.99,4,0.34
23,74000,7,24000,10.99,2,0.32
22,18000,3,3000,7.9,4,0.17
22,75000,6,24000,12.69,4,0.32
24,75000,9,24000,10.37,3,0.32
24,75000,7,24000,,3,0.32
26,69000,0,24000,15.83,3,0.35
23,78000,4,24000,13.92,3,0.31
22,18000,,2000,11.49,3,0.11
24,80000,2,24000,10.25,2,0.3
22,18000,1,3500,7.49,4,0.19
23,18000,3,4000,5.99,2,0.22
23,74700,6,24000,12.92,2,0.32
26,88596,3,24000,11.58,3,0.27
25,95000,4,24000,8.9,2,0.25
22,83000,6,24000,19.69,3,0.29
25,95000,9,24000,6.54,4,0.25
21,18000,3,4900,14.54,4,0.27
21,18000,,5000,11.11,2,0.28
26,100000,5,24000,12.73,4,0.24
24,110000,7,24000,15.62,4,0.22
24,18000,0,6250,6.54,4,0.35
22,98000,7,24000,,2,0.24
26,103872,6,24000,20.03,4,0.23
22,120000,4,24000,9.91,4,0.2
24,120000,1,24000,12.69,4,0.2
26,108000,9,24000,20.16,3,0.22
24,124080,4,24000,16.49,4,0.19
23,18000,1,2500,15.95,2,0.14
24,130000,7,24000,11.49,3,0.18
25,135000,8,24000,10.99,2,0.18
24,135000,4,24000,13.79,2,0.18
23,114750,2,24000,20.03,3,0.18
23,150000,0,24000,7.49,4,0.16
23,138000,7,24000,16,2,0.17
24,18000,6,13000,7.88,3,0.72
21,18000,0,6250,10.62,4,0.35
26,155000,7,24000,10.99,4,0.15
26,148000,1,24000,18.3,2,0.16
26,170000,3,24000,,2,0.14
21,18000,1,2500,11.36,3,0.14
24,43896,8,23975,,2,0.55
23,120000,4,23750,13.47,2,0.2
24,54996,2,23600,11.89,3,0.43
24,18000,0,10000,12.18,2,0.56
25,102000,9,23600,13.49,4,0.23
23,75000,3,23575,14.5,4,0.31
22,18000,2,4000,,2,0.22
22,18000,1,5400,15.31,2,0.3
25,18000,1,4000,,3,0.22
21,18000,5,3375,,2,0.19
22,66960,1,23400,7.49,2,0.35
22,43385,7,23000,,3,0.53
25,56544,3,23000,,2,0.41
23,60000,2,23000,12.18,4,0.38
24,18000,3,1200,11.34,4,0.07
25,63208,9,23000,9.91,3,0.36
24,65000,0,23000,11.99,4,0.35
23,68000,7,23000,9.62,2,0.34
22,18000,1,3000,9.96,3,0.17
25,80000,9,23000,,2,0.29
24,88000,1,23000,14.54,2,0.26
22,58600,5,22750,11.36,4,0.39
23,70000,7,22500,14.27,2,0.32
24,18287,3,3000,11.99,3,0.16
26,69846,2,22500,18.99,2,0.32
24,73000,0,22400,16.7,4,0.31
24,18500,8,5000,9.32,3,0.27
23,35000,2,22250,12.69,3,0.64
25,43000,9,22000,13.11,2,0.51
25,52000,4,22000,10.74,2,0.42
21,18701,0,4200,14.11,4,0.22
22,57000,6,22000,9.63,3,0.39
25,58000,0,22000,14.65,2,0.38
23,60000,6,22000,10.25,4,0.37
24,60000,3,22000,14.26,2,0.37
25,18840,5,3000,9.91,2,0.16
26,56000,7,22000,17.19,3,0.39
22,70000,3,22000,11.36,4,0.31
22,66000,1,22000,,2,0.33
23,74064,3,22000,10.59,3,0.3
24,76597,5,22000,9.25,2,0.29
22,19000,6,3625,8.49,3,0.19
26,77000,0,22000,6.54,3,0.29
21,19000,5,6000,8.49,3,0.32
24,80000,0,22000,,4,0.28
26,82600,10,22000,12.69,2,0.27
24,19000,3,7400,13.85,2,0.39
25,19000,3,4000,7.4,3,0.21
23,84000,3,22000,11.71,4,0.26
25,77650,8,22000,11.48,3,0.28
25,82000,1,22000,17.51,2,0.27
21,19012,0,3500,14.61,3,0.18
23,99996,3,22000,7.88,4,0.22
23,110000,0,22000,,3,0.2
22,19200,6,4950,11.71,2,0.26
25,57000,4,21700,11.99,2,0.38
24,54000,5,21600,13.49,2,0.4
23,56000,8,21600,21.21,4,0.39
26,63000,2,21600,14.35,3,0.34
22,82000,3,21600,13.61,3,0.26
22,78000,6,21600,11.26,3,0.28
22,19200,0,2400,10.59,3,0.13
24,112140,8,21600,7.9,2,0.19
24,19200,,7000,5.99,4,0.36
25,19200,4,3000,11.99,4,0.16
24,59000,5,21500,16.89,3,0.36
24,70000,5,21500,9.99,3,0.31
24,116000,5,21500,15.33,3,0.19
25,60000,5,21450,7.29,4,0.36
22,31000,5,21250,12.42,3,0.69
25,47052,5,21250,10.99,2,0.45
25,51060,9,21250,6.91,2,0.42
22,19200,6,5000,14.17,2,0.26
22,53000,3,21250,10.25,3,0.4
26,19200,0,9250,,2,0.48
24,56000,8,21250,15.95,3,0.38
24,65000,4,21250,15.95,4,0.33
21,35000,3,21000,12.53,4,0.6
22,19200,6,1400,14.91,4,0.07
23,19200,7,3000,,4,0.16
26,40000,3,21000,6.54,4,0.53
25,19200,2,1000,,3,0.05
26,42000,0,21000,17.26,4,0.5
23,63000,2,21000,11.36,2,0.33
26,19200,5,4000,7.51,4,0.21
22,59000,2,21000,10.71,3,0.36
22,70500,3,21000,13.98,4,0.3
26,65219,11,21000,14.09,3,0.32
22,75000,2,21000,10,3,0.28
22,19200,3,5000,15.33,3,0.26
25,62047,9,21000,16.32,4,0.29
24,79000,8,21000,7.9,2,0.27
23,80000,3,21000,11.99,3,0.26
24,84000,8,21000,10.75,4,0.25
26,85000,3,21000,13.92,3,0.25
22,93000,1,21000,9.91,3,0.23
26,81000,10,21000,16.95,3,0.26
26,97000,1,21000,7.9,3,0.22
26,97000,3,21000,,3,0.22
25,100000,2,21000,16.49,3,0.21
26,19200,0,7500,11.97,2,0.39
21,19253,,6250,6.17,3,0.32
26,125000,5,21000,8.9,2,0.17
25,125000,9,21000,12.99,3,0.17
23,82000,2,20900,12.69,2,0.25
21,19500,0,15000,9.64,2,0.77
26,50000,7,20500,7.49,3,0.41
23,70000,2,20500,13.16,3,0.29
22,19800,1,2100,8.38,4,0.11
123,80004,2,20400,10.25,3,0.25
23,54000,7,20375,7.49,2,0.38
26,26000,10,20050,9.76,2,0.77
24,33000,1,20000,10.99,3,0.61
23,20000,0,5000,11.71,4,0.25
22,20000,6,9250,10.65,4,0.46
24,35364,1,20000,12.53,4,0.57
25,38000,4,20000,14.59,4,0.53
23,32000,3,20000,12.61,4,0.63
25,38004,6,20000,13.11,2,0.53
23,20000,2,6400,10.65,4,0.32
25,38556,9,20000,11.22,4,0.52
23,32900,1,20000,16,2,0.61
25,34000,10,20000,8.88,4,0.59
24,40000,4,20000,12.53,3,0.5
21,36000,5,20000,,2,0.56
26,20000,5,4800,5.99,3,0.24
25,42000,2,20000,13.47,4,0.48
22,42224,7,20000,6.99,4,0.47
25,20000,0,5650,15.99,2,0.28
23,20000,7,3625,,3,0.18
22,37212,6,20000,16.69,3,0.54
25,38000,9,20000,11.11,4,0.53
22,45000,0,20000,7.9,4,0.44
23,45000,4,20000,10.25,2,0.44
24,45000,8,20000,,2,0.44
23,20000,7,1200,7.49,3,0.06
22,45000,1,20000,13.92,3,0.44
24,39000,5,20000,14.74,2,0.51
24,46500,5,20000,10.62,2,0.43
22,48000,7,20000,10.65,3,0.42
22,42000,1,20000,12.99,3,0.48
22,48500,1,20000,11.36,4,0.41
22,20000,3,7500,5.79,4,0.38
23,49400,0,20000,6.54,4,0.4
25,20000,1,4000,5.79,2,0.2
25,50000,10,20000,7.49,3,0.4
25,50000,9,20000,13.43,2,0.4
22,50000,6,20000,13.22,2,0.4
22,20000,1,5000,14.72,3,0.25
22,44000,2,20000,15.68,4,0.45
24,50866,6,20000,,3,0.39
25,50950,5,20000,11.48,3,0.39
24,51000,8,20000,10.38,3,0.39
22,51000,5,20000,12.53,3,0.39
22,51000,0,20000,13.47,2,0.39
24,51500,6,20000,12.21,4,0.39
25,51996,9,20000,10.99,3,0.38
25,52000,1,20000,11.36,4,0.38
22,46000,2,20000,16,4,0.43
26,20000,1,1500,7.74,3,0.07
24,52000,8,20000,15.65,2,0.38
25,46000,9,20000,11.78,2,0.43
24,52559,9,20000,,3,0.38
22,47000,5,20000,16.77,3,0.43
22,54000,2,20000,9.91,4,0.37
23,48000,7,20000,15.65,4,0.42
23,48000,0,20000,14.96,3,0.42
23,54000,1,20000,11.83,4,0.37
24,48912,0,20000,11.66,4,0.41
26,54996,8,20000,12.18,4,0.36
24,55000,8,20000,6.91,2,0.36
25,55000,3,20000,6.91,3,0.36
26,49000,0,20000,19.79,3,0.41
25,55000,0,20000,9.88,4,0.36
22,20000,0,16600,9.76,3,0.83
23,55000,5,20000,12.53,2,0.36
25,55200,7,20000,,4,0.36
23,20004,6,7125,6.99,2,0.36
23,57000,3,20000,16.89,2,0.35
22,51012,1,20000,17.49,4,0.39
23,20004,2,2500,16.82,2,0.12
26,20004,4,3600,,2,0.18
22,58000,0,20000,13.11,2,0.34
23,58800,7,20000,7.66,3,0.34
26,59000,10,20000,6.17,3,0.34
26,53000,1,20000,16.35,4,0.38
23,60000,7,20000,7.9,2,0.33
24,54000,2,20000,16.49,2,0.37
21,20245,5,3550,,4,0.18
26,20280,5,7000,8,2,0.35
24,60000,0,20000,10.99,2,0.33
24,20352,3,7750,6.91,3,0.38
25,54000,6,20000,8.88,3,0.37
24,60000,8,20000,,4,0.33
23,54000,6,20000,14.84,3,0.37
23,54000,2,20000,11.12,2,0.37
22,60000,4,20000,7.88,3,0.33
25,60000,2,20000,,2,0.33
22,20400,6,6000,15.99,4,0.29
24,20400,5,5500,10.99,4,0.27
25,60000,9,20000,,3,0.33
25,54000,1,20000,15.65,3,0.37
24,54000,1,20000,17.04,3,0.37
23,60000,3,20000,12.21,2,0.33
21,20400,2,1275,15.23,3,0.06
25,54000,1,20000,14.11,4,0.37
24,60000,0,20000,11.14,2,0.33
21,20400,5,2400,11.49,4,0.12
24,60000,8,20000,13.87,4,0.33
26,60000,3,20000,10.08,4,0.33
23,54504,1,20000,16.7,4,0.37
24,55000,2,20000,18.64,2,0.36
24,61000,2,20000,12.18,4,0.33
22,20400,0,3800,,3,0.19
25,62000,3,20000,6.54,3,0.32
24,56000,3,20000,14.61,4,0.36
21,56000,4,20000,17.39,3,0.36
24,62400,8,20000,11.12,2,0.32
25,62400,7,20000,11.48,2,0.32
25,63000,3,20000,12.42,3,0.32
26,58000,0,20000,10.25,2,0.34
23,65000,0,20000,10.65,3,0.31
24,20800,0,5000,16.29,3,0.24
23,65000,0,20000,10.37,2,0.31
23,65000,7,20000,11.49,3,0.31
24,20856,,10000,10.59,4,0.48
25,20868,0,5375,13.49,2,0.26
26,59000,3,20000,,4,0.34
23,59000,7,20000,12.29,4,0.34
21,21000,5,3500,17.27,2,0.17
26,65004,7,20000,11.99,2,0.31
25,59004,1,20000,14.84,2,0.34
23,59004,5,20000,10.83,2,0.34
23,65500,2,20000,13.22,2,0.31
22,66996,3,20000,12.18,2,0.3
23,67000,0,20000,11.11,2,0.3
24,67000,5,20000,13.48,2,0.3
26,68000,10,20000,10.75,4,0.29
25,68000,4,20000,12.53,4,0.29
24,62400,4,20000,14.84,4,0.32
23,69500,3,20000,17.74,2,0.29
